"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"Intact canopy",0,0,0,28.0571542537522,29.0890490739869,0,0,0,1.0318948202347,45
"New gap",0,551.25,551.25,20.3744445247174,6.16465303243693,0,3398.26498413086,3398.26498413086,-14.2097914922805,45
"Persistent gap",441.5,441.5,0,5.19676552380467,5.71768861556783,2294.37197875976,2524.3595237732,229.987545013436,0.520923091763161,45
"Recovered gap",574,0,-574,6.06131996261118,18.0141639244265,3479.19765853882,0,-3479.19765853882,11.9528439618154,45
"Intact canopy",0,0,0,30.062456593893,32.0064477813336,0,0,0,1.94399118744057,76
"New gap",0,397.25,397.25,20.4200734834089,5.76471167168879,0,2290.03171157837,2290.03171157837,-14.6553618117201,76
"Persistent gap",214.5,214.5,0,5.20059879898747,5.92735827608264,1115.52844238281,1271.41835021973,155.889907836913,0.726759477095167,76
"Recovered gap",220.25,0,-220.25,6.24303523744546,21.5949076242263,1375.02851104736,0,-1375.02851104736,15.3518723867808,76
"Intact canopy",0,0,0,31.2372279598091,32.6805168830111,0,0,0,1.44328892320199,64
"New gap",0,69.5,69.5,21.4222726067193,7.01885514293643,0,487.810432434082,487.810432434082,-14.4034174637829,64
"Persistent gap",214,214,0,5.77564991745994,6.26241345271886,1235.98908233643,1340.15647888184,104.16739654541,0.486763535258924,64
"Recovered gap",425.75,0,-425.75,6.58827995259973,18.5029893965842,2804.96018981934,0,-2804.96018981934,11.9147094439844,64
"Intact canopy",0,0,0,28.5090917158566,31.7470788979786,0,0,0,3.23798718212195,5
"New gap",0,146.75,146.75,22.2382322243166,6.34078789732119,0,930.510623931885,930.510623931885,-15.8974443269954,5
"Persistent gap",334.75,334.75,0,4.92107228969264,6.2725137905722,1647.32894897461,2099.72399139404,452.395042419435,1.35144150087957,5
"Recovered gap",716.75,0,-716.75,6.89525734908413,17.0382496754301,4942.17570495605,0,-4942.17570495605,10.1429923263459,5
"Intact canopy",0,0,0,27.5482990650676,29.2127813791351,0,0,0,1.66448231406752,9
"New gap",0,508.75,508.75,22.0740877718539,6.19543971406154,0,3151.92995452881,3151.92995452881,-15.8786480577923,9
"Persistent gap",492,492,0,5.89547709333218,6.83732670109446,2900.57472991943,3363.96473693848,463.390007019043,0.941849607762282,9
"Recovered gap",755.25,0,-755.25,6.88943527913654,17.2870057253442,5203.24599456787,0,-5203.24599456787,10.3975704462076,9
"Intact canopy",0,0,0,27.6588543170624,28.1713895560981,0,0,0,0.51253523903566,20
"New gap",0,721.25,721.25,21.7584594726562,6.06689630306779,0,4375.74895858764,4375.74895858764,-15.6915631695884,20
"Persistent gap",467,467,0,5.73940575250466,5.7624301951243,2680.30248641968,2691.05490112305,10.7524147033691,0.0230244426196347,20
"Recovered gap",228.75,0,-228.75,6.44600538243362,16.9573610066065,1474.52373123169,0,-1474.52373123169,10.5113556241729,20
"Intact canopy",0,0,0,29.0601582350795,32.6290840914624,0,0,0,3.56892585638288,115
"New gap",0,442.25,442.25,18.04502418393,6.52356561689878,0,2885.04689407349,2885.04689407349,-11.5214585670312,115
"Persistent gap",1084,1084,0,5.43556936904514,6.33779022174569,5892.15719604494,6870.16460037233,978.007404327394,0.902220852700549,115
"Recovered gap",799,0,-799,6.36829290760026,18.1923665749713,5088.2660331726,0,-5088.2660331726,11.8240736673711,115
"Intact canopy",0,0,0,29.1630711544348,31.4565214243238,0,0,0,2.29345026988907,106
"New gap",0,513.75,513.75,20.3217411458928,6.58191132557073,0,3381.45694351196,3381.45694351196,-13.739829820322,106
"Persistent gap",654.25,654.25,0,5.60945367284708,5.88802428896025,3669.9850654602,3852.23989105225,182.254825592045,0.278570616113176,106
"Recovered gap",553.75,0,-553.75,6.56216649729296,19.0916877350474,3633.79969787598,0,-3633.79969787598,12.5295212377544,106
"Intact canopy",0,0,0,28.3613313669612,30.0633103115356,0,0,0,1.70197894457437,100
